code,prov,area_ha,sp,elev_mean,elev_min,elev_max,elevF,perim,lat,long,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,sp_abrev,especie
AL002008,AL,279.0880537,PINUS NIGRA SSP AUSTR.,1650.24,1415,1840,2medium,9237.65,37.13121,-2.88625,0,0,0,0,0,3,0,0,0,1,3,2,4,0,0,1,0,0,3,3,1,0,0,1,1,2,2,pnig_aus,P. nigra
AL002009,AL,40.259799300000005,PINUS NIGRA SSP AUSTR.,1522.69,1396,1620,2medium,2874.61,37.13509,-2.8655,3,1,0,0,0,2,0,0,0,2,NA,3,4,0,0,0,0,0,3,2,0,0,0,1,0,2,4,pnig_aus,P. nigra
AL002010,AL,300.6764771,PINUS SYLVESTRIS,1648.62,1351,1834,2medium,17479.73,37.1212,-2.87363,0,0,0,0,0,1,0,0,0,1,2,3,4,0,0,0,0,0,2,4,1,0,0,1,1,2,3,psylv,P. sylvestris
AL002011,AL,45.666127100000004,PINUS HALEPENSIS,1140.62,969,1248,1low,4646.31,37.12528,-2.78964,NA,4,0,0,0,2,0,0,0,1,2,2,1,0,0,1,0,1,1,2,1,0,1,2,2,2,1,phale,P. halepensis
AL002012,AL,303.2116779,PINUS NIGRA SSP AUSTR.,1460.51,1164,1705,2medium,11209.11,37.11841,-2.84822,3,0,0,0,0,1,0,0,0,1,3,2,2,0,0,0,0,0,2,2,1,0,0,1,0,2,2,pnig_aus,P. nigra
AL002013,AL,40.571305200000005,PINUS HALEPENSIS,1258.28,1179,1324,2medium,3473.4,37.11927,-2.78237,NA,2,0,0,0,1,0,0,0,1,3,2,1,0,0,1,0,2,1,1,1,0,0,0,0,2,1,phale,P. halepensis
AL002014,AL,12.0581905,PINUS NIGRA SSP AUSTR.,1766.18,1683,1811,3high,2231.56,37.11802,-2.88035,0,0,0,0,0,3,1,0,0,1,2,3,3,0,0,0,0,0,2,4,0,0,0,1,1,2,4,pnig_aus,P. nigra
AL002015,AL,245.28089049999997,PINUS NIGRA SSP AUSTR.,1842.33,1433,2209,3high,11490.56,37.10565,-2.86788,3,0,0,0,0,1,0,0,0,NA,3,2,3,0,0,0,0,0,3,4,1,0,0,1,2,3,4,pnig_aus,P. nigra
AL002016,AL,71.8635373,PINUS SYLVESTRIS,1936.49,1803,2137,3high,4660.57,37.10578,-2.88661,0,0,0,0,0,1,0,0,0,NA,0,1,3,0,0,0,0,0,2,3,1,0,0,2,2,3,3,psylv,P. sylvestris
AL002017,AL,16.6887385,PINUS NIGRA SSP AUSTR.,1787.32,1740,1831,3high,1740.31,37.11494,-2.88155,0,0,0,0,0,3,1,0,0,NA,2,3,4,0,0,0,0,0,2,4,0,0,0,2,2,2,3,pnig_aus,P. nigra
AL002018,AL,102.5125246,PINUS NIGRA SSP AUSTR.,1263.96,1118,1397,2medium,7408.15,37.11026,-2.82803,0,1,0,0,2,3,0,0,0,2,3,2,1,0,0,0,0,0,2,2,0,0,1,1,1,1,3,pnig_aus,P. nigra
